mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_133786,C(CO)C(=O)C(F)(F)F,3.19999,0.85416,0.77267,2.1764,51.5,-0.2804,-0.0526,0.2278,1409.4624,0.094592,-605.33148,-605.321994,-605.32105,-605.368185,31.788,-1353.9629916111,-1360.4526896891,-1368.1566176821,-1260.4057922741
gdb_133787,CCCC(=O)C(F)(F)F,3.14115,0.85534,0.77373,2.5256,58.64,-0.2759,-0.0485,0.2274,1477.76,0.118081,-569.412293,-569.402601,-569.401657,-569.44899,33.065,-1541.0071092771,-1549.145273498,-1558.0351935011,-1434.3299517681
gdb_133788,CCNC(=N)C(F)(F)F,3.02772,0.93173,0.82373,2.155,60.55,-0.242,0.0066,0.2486,1398.7837,0.120117,-565.582085,-565.572564,-565.571619,-565.617878,33.287,-1486.678007566,-1494.922848317,-1503.8121408111,-1379.073391755
gdb_133789,CCOC(=N)C(F)(F)F,3.04792,0.97618,0.8589,1.4459,56.51,-0.2865,-0.005,0.2816,1339.8949,0.10762,-585.458242,-585.449005,-585.44806,-585.493918,31.807,-1421.2363489741,-1428.7708495371,-1437.0671460261,-1320.2958787431
gdb_133790,CCOC(=O)C(F)(F)F,3.08427,0.97492,0.86127,3.0158,52.4,-0.2984,-0.0229,0.2756,1325.171,0.095178,-605.356383,-605.347152,-605.346208,-605.392521,30.99,-1369.5898482381,-1376.239561111,-1383.943489104,-1275.6768512981
gdb_133791,CNCC(=O)C(F)(F)F,3.06169,0.9478,0.89806,1.4034,54.89,-0.2357,-0.0542,0.1815,1310.3462,0.10716,-585.445146,-585.435669,-585.434725,-585.481142,32.26,-1413.0184911101,-1420.402389513,-1428.699313511,-1312.278823759
gdb_133792,COCC(=O)C(F)(F)F,3.24425,0.89599,0.8096,3.2836,52.59,-0.2795,-0.0521,0.2273,1380.368,0.094038,-605.316836,-605.307352,-605.306408,-605.354182,31.317,-1344.7737498151,-1351.264702911,-1358.968630904,-1251.6187837471
gdb_133793,NC(CCO)C(F)(F)F,2.9187,0.85617,0.77047,2.0845,57.57,-0.2569,0.0765,0.3334,1451.6946,0.131586,-586.645786,-586.635912,-586.634968,-586.68142,34.814,-1538.5792769561,-1547.491159774,-1556.9740757821,-1424.2414895751
gdb_133794,OCCC(O)C(F)(F)F,3.0015,0.85643,0.77481,2.1123,54.19,-0.2728,0.0677,0.3406,1430.6486,0.118668,-606.523381,-606.51363,-606.512686,-606.559003,34.058,-1474.0399763061,-1482.1404899871,-1491.0304099901,-1366.4322229501
gdb_133795,CC(CCO)C(F)(F)F,2.83241,0.85857,0.76666,3.1695,61.06,-0.273,0.0714,0.3444,1475.1082,0.142208,-570.600103,-570.590026,-570.589082,-570.636098,35.391,-1658.5169546531,-1668.190633397,-1678.26654541,-1538.028324054
gdb_133796,CCCC(C)C(F)(F)F,2.791,0.85934,0.76811,2.1719,68.18,-0.3266,0.0822,0.4088,1542.7008,0.165678,-534.680873,-534.670593,-534.669649,-534.717001,36.659,-1845.5340894321,-1856.8581168461,-1868.1200208691,-1712.0139794301
gdb_133797,CCCC(N)C(F)(F)F,2.87684,0.85625,0.77258,0.9789,64.74,-0.2564,0.0791,0.3355,1519.3915,0.155011,-550.726104,-550.716029,-550.715084,-550.761861,36.09,-1725.312777667,-1735.8762641731,-1746.5445446821,-1597.937235793
gdb_133798,CCCC(O)C(F)(F)F,2.95651,0.8572,0.77653,1.8425,61.31,-0.2889,0.0699,0.3588,1498.1906,0.142131,-570.60397,-570.594014,-570.59307,-570.639694,35.336,-1660.9435319561,-1670.6931392891,-1680.7690513021,-1540.2848464181
gdb_133799,CCNC(C)C(F)(F)F,2.74121,0.92007,0.81376,2.6174,65.35,-0.2313,0.0783,0.3097,1463.3392,0.154164,-550.718005,-550.707825,-550.706881,-550.754092,36.104,-1720.230582276,-1730.728180337,-1741.397088355,-1593.0621183721
gdb_133800,CCOC(C)C(F)(F)F,2.55111,1.05609,0.89859,1.9845,62.17,-0.2676,0.0833,0.351,1345.0493,0.14147,-570.598584,-570.588525,-570.587581,-570.634847,35.186,-1657.563768482,-1667.248742388,-1677.3246544011,-1537.2433102951
gdb_133801,COCC(C)C(F)(F)F,2.93326,0.8978,0.80528,1.9419,61.8,-0.2647,0.0827,0.3474,1440.122,0.141878,-570.594118,-570.584099,-570.583155,-570.629943,34.879,-1654.7613132881,-1664.471387554,-1674.5472995671,-1534.1660061591
gdb_133802,COCC(N)C(F)(F)F,3.0464,0.89833,0.81121,3.0217,58.34,-0.2525,0.074,0.3264,1413.5329,0.131159,-586.636047,-586.626209,-586.625264,-586.671597,34.321,-1532.467966805,-1541.402439947,-1550.884728446,-1418.0774686681
gdb_133803,COCC(O)C(F)(F)F,2.55694,1.08228,0.90913,2.4501,54.86,-0.2674,0.0642,0.3316,1287.1704,0.118298,-606.512494,-606.502798,-606.501854,-606.548179,33.545,-1467.208285823,-1475.343312499,-1484.233232502,-1359.6400655341
gdb_133804,C(CCO)CC(F)(F)F,4.48111,0.53421,0.52786,2.1359,61.78,-0.2704,0.0732,0.3436,2005.3927,0.142684,-570.600312,-570.590317,-570.589373,-570.636847,34.617,-1658.6481040341,-1668.3732385161,-1678.4491505291,-1538.4983282951
gdb_133805,C(CO)NCC(F)(F)F,3.92517,0.69775,0.67966,2.8297,58.69,-0.2341,0.0651,0.2993,1616.3345,0.131903,-586.63714,-586.627552,-586.626607,-586.672957,33.635,-1533.1538341421,-1542.2451845341,-1551.7274730331,-1418.9308809081
gdb_133806,C(COCC(F)(F)F)O,3.13826,0.89404,0.8367,2.7442,54.98,-0.268,0.0704,0.3385,1367.8457,0.119301,-606.513834,-606.504433,-606.503489,-606.550494,32.527,-1468.0491478831,-1476.369289714,-1485.259209717,-1361.0927488691
gdb_133807,CCCCCC(F)(F)F,4.38235,0.53873,0.53258,2.2242,69.03,-0.3247,0.0827,0.4074,2085.1008,0.166124,-534.680514,-534.670311,-534.669367,-534.717223,35.884,-1845.3088137011,-1856.6811593081,-1867.9430633311,-1712.1532864281
gdb_133808,CCCNCC(F)(F)F,3.67758,0.67395,0.65405,2.7185,65.79,-0.2361,0.0721,0.3082,1751.5806,0.154956,-550.71442,-550.704388,-550.703444,-550.750982,35.199,-1717.9809625111,-1728.571431904,-1739.240339922,-1591.1105653821
gdb_133809,CCCOCC(F)(F)F,4.45669,0.59932,0.59088,2.8304,62.9,-0.2736,0.0756,0.3492,1887.4675,0.141899,-570.591512,-570.581471,-570.580526,-570.628468,34.259,-1653.1260248341,-1662.822293902,-1672.897578406,-1533.2404303841
gdb_133810,CCOCCC(F)(F)F,4.47386,0.58123,0.57366,2.0578,62.77,-0.2632,0.084,0.3472,1918.4958,0.142017,-570.59719,-570.587184,-570.586239,-570.633876,34.283,-1656.689020936,-1666.407252819,-1676.4825373231,-1536.6339990561
gdb_133811,COCCCC(F)(F)F,4.53376,0.55916,0.55307,2.7798,62.57,-0.261,0.0804,0.3414,1962.0148,0.142293,-570.592526,-570.582549,-570.581605,-570.62915,34.103,-1653.7623189601,-1663.498748604,-1673.574660617,-1533.6683915221
gdb_133812,C1C2C3C4=CCC13C24,3.87796,2.89343,2.16287,1.4299,74.02,-0.2031,-0.0535,0.1496,674.6492,0.131068,-309.315799,-309.310015,-309.309071,-309.344989,24.754,-1593.5208274511,-1604.1131793711,-1613.003726883,-1485.337020833
gdb_133813,C1C=C2C3C4OC13C24,4.9968,1.60349,1.24477,1.5676,84.64,-0.2136,-0.0912,0.1224,918.0575,0.105308,-345.307431,-345.300244,-345.2993,-345.338977,26.282,-1451.9365992901,-1459.8708230861,-1467.575378588,-1358.3461419761
gdb_133814,C1N2C3C4=CCC13C24,3.65198,2.79108,2.08318,1.9278,73.02,-0.1927,-0.0475,0.1451,682.0696,0.118677,-325.361867,-325.355627,-325.354682,-325.391543,25.595,-1473.824740719,-1483.2417682821,-1491.53869228,-1372.323277442
gdb_133815,C1C2C3OC4C3C1=CC24,3.43668,2.19661,1.94831,1.3775,75.35,-0.1928,-0.0783,0.1145,771.9737,0.138486,-384.545107,-384.539579,-384.538635,-384.57446,24.968,-1696.889757512,-1708.53130448,-1718.014220488,-1579.425092784
gdb_133816,N1C2C3OC4C3C1=NC24,3.0711,2.37481,1.6604,2.1354,78.01,-0.1648,-0.0469,0.1179,793.5666,0.114794,-416.726083,-416.720091,-416.719147,-416.756053,25.163,-1513.2454836081,-1522.817505894,-1531.114429892,-1408.922739867
gdb_133817,C1N2C3C4C2C11CN4C31,3.42059,2.38003,2.00882,1.2297,73.78,-0.2277,0.0574,0.2851,753.3848,0.139531,-380.704336,-380.69904,-380.698095,-380.73353,24.008,-1635.932278234,-1647.7187797811,-1657.20106828,-1518.007649409
gdb_133818,C1N2C3C4C5OC1(C35)C24,3.33847,2.42563,2.02591,1.179,70.06,-0.2326,0.0385,0.2711,736.3952,0.12678,-400.58001,-400.574775,-400.57383,-400.609175,23.674,-1570.187532795,-1581.123759647,-1590.013052141,-1458.982270342
gdb_133819,C1CC23OC4C2C=C1C34,2.79714,1.73845,1.15764,2.4988,79.82,-0.2163,-0.0311,0.1852,1036.0292,0.137415,-384.728977,-384.721804,-384.72086,-384.760968,28.158,-1812.269837342,-1822.879132005,-1832.362048013,-1696.460541356
gdb_133820,N1C2C3OC4C=CC2C134,2.65635,1.92779,1.32312,3.0938,79.23,-0.2008,-0.0319,0.1689,954.3419,0.126416,-400.666597,-400.659538,-400.658593,-400.698348,27.465,-1624.521654578,-1634.313305014,-1643.202597508,-1514.939130399
gdb_133821,C1C2C3CCC4OC2C134,2.80353,1.39193,1.26541,2.3578,82.16,-0.2282,-0.023,0.2052,1088.5856,0.159883,-385.883387,-385.875456,-385.874512,-385.916279,30.339,-1908.8208821181,-1920.7316304471,-1931.400538465,-1780.206009969
gdb_133822,CC12C3C1C1=CC2=CC31,2.44575,2.20601,1.7639,2.5857,88.03,-0.1828,-0.0602,0.1226,871.1093,0.135491,-347.442438,-347.435146,-347.434202,-347.473495,29.399,-1769.139888754,-1779.675137355,-1789.158053363,-1653.0005230341
gdb_133823,CC12C3N1C1C=C2C=C31,3.64155,2.0505,1.81134,1.1422,77.34,-0.2034,-0.0617,0.1417,806.242,0.124066,-363.400341,-363.394025,-363.393081,-363.430443,26.575,-1594.119471037,-1604.3779881691,-1613.267908172,-1483.758208189
gdb_133824,OC12C3C1C1=CC2=CC31,3.59188,2.06679,1.80954,1.9951,74.23,-0.202,-0.0477,0.1543,780.4107,0.112028,-383.278788,-383.272589,-383.271645,-383.308872,26.146,-1530.1148080551,-1539.5581909961,-1547.855114994,-1426.479814178
gdb_133825,CC12C3C1C1=CC2C3=C1,4.10989,1.83963,1.69685,1.0427,81.7,-0.195,-0.0467,0.1483,848.5506,0.135983,-347.359915,-347.353493,-347.352549,-347.390122,27.206,-1717.355963547,-1728.4371449781,-1737.920060986,-1600.6832151771
gdb_133826,CC12C3N1C1=NC2C3=C1,2.633,1.70035,1.32425,4.8989,80.15,-0.2137,-0.088,0.1257,986.3125,0.109664,-379.531889,-379.523751,-379.522807,-379.564437,30.408,-1528.062853625,-1536.288869106,-1544.585793104,-1425.613851758
gdb_133827,OC12C3C1C1=CC2C3=C1,3.36333,1.66761,1.17333,2.9472,89.71,-0.1811,-0.0886,0.0925,983.1255,0.112513,-383.402375,-383.395337,-383.394393,-383.433536,28.0,-1607.6667628381,-1616.5836657281,-1624.880589726,-1504.7075961541
gdb_133828,CC12C3C1C1=CC2CC31,3.13493,1.96124,1.79752,2.9968,82.41,-0.1884,0.0035,0.1919,871.386,0.16006,-348.639712,-348.632753,-348.631809,-348.6704,29.322,-1892.588479306,-1905.1097938921,-1915.77870191,-1762.846600993
gdb_133829,CC12C3C1C1=CC2OC31,3.25432,2.00549,1.82423,3.243,74.76,-0.2068,-0.0122,0.1946,830.161,0.136237,-384.564263,-384.557592,-384.556648,-384.594804,27.667,-1708.910319916,-1719.8346240971,-1729.317540105,-1592.1911358801
gdb_133830,CC12C3C4CC1N=C4N23,3.00324,2.01224,1.9133,3.8331,74.62,-0.1931,-0.0709,0.1222,830.1389,0.13534,-380.718006,-380.7112,-380.710255,-380.748521,28.542,-1644.5103262641,-1655.3492892211,-1664.83157772,-1527.4146368281
gdb_133831,CC12C3N1C1CC2C=C31,3.14041,2.06404,1.89986,3.7345,80.36,-0.1852,0.0134,0.1985,832.1811,0.147709,-364.679063,-364.672127,-364.671183,-364.709768,28.778,-1768.677414621,-1780.323981661,-1790.399893674,-1645.323577928
gdb_133832,NC12C3C1C1=NC2CN31,4.15756,1.26461,1.10131,3.3411,82.98,-0.1965,-0.0365,0.1599,1091.8944,0.124947,-396.824879,-396.817474,-396.81653,-396.85683,28.605,-1562.969924277,-1572.54382909,-1581.433749093,-1453.152711732
gdb_133833,OC12C3C1C1=CC2CC31,3.16649,1.99782,1.82711,2.7397,74.89,-0.193,-0.0105,0.1825,821.9849,0.136563,-384.55892,-384.552355,-384.551411,-384.589195,28.046,-1705.5575393291,-1716.5483594641,-1726.031275472,-1588.6714378991
gdb_133834,OC12C3C1C1=CC2OC31,3.2946,2.03985,1.84853,2.3551,67.14,-0.2125,-0.0262,0.1863,781.6557,0.11256,-420.482004,-420.475686,-420.474742,-420.512158,26.498,-1520.9588242361,-1530.326906097,-1538.623830095,-1417.1117323171
gdb_133835,OC12C3C1C1=NC2CN31,3.08253,2.06785,1.96278,2.5282,68.86,-0.2042,-0.0779,0.1264,774.4374,0.113135,-416.644949,-416.638857,-416.637913,-416.674828,26.158,-1462.333168402,-1471.842439788,-1480.139363786,-1357.953321342
gdb_133836,CC12C3C1C1=CC3C2=C1,3.94557,1.83165,1.72017,0.9626,81.91,-0.1958,-0.0449,0.1509,852.4265,0.136049,-347.361488,-347.355067,-347.354123,-347.391701,27.194,-1718.3430352041,-1729.4248441441,-1738.907760152,-1601.6740518881
gdb_133837,CC12C3C4N=C(C=C14)N23,3.70512,1.39074,1.07965,3.4981,83.64,-0.2225,-0.1124,0.1101,1062.7157,0.108719,-379.539084,-379.530886,-379.529941,-379.571964,30.537,-1532.57778088,-1540.7661458211,-1549.06244231,-1430.337112001
gdb_133838,CC12C3N1C1C=C3C=C21,4.10607,1.84975,1.75785,1.3066,77.8,-0.2034,-0.0616,0.1418,826.7168,0.124194,-363.40227,-363.395911,-363.394967,-363.432446,26.566,-1595.329935898,-1605.5614701431,-1614.451390146,-1485.015108716
gdb_133839,OC12C3C1C1=CC3C2=C1,4.03697,1.85557,1.74599,0.9114,74.24,-0.2021,-0.0497,0.1523,800.6664,0.112512,-383.282668,-383.276594,-383.27565,-383.31254,25.939,-1532.5495429751,-1542.0713645411,-1550.368288539,-1428.7815171901
gdb_133840,CC12C3C1C1=CC3CC21,3.02495,2.02899,1.88358,2.7836,82.16,-0.1878,0.0085,0.1963,856.3923,0.159954,-348.639983,-348.633045,-348.632101,-348.670583,29.361,-1892.758534245,-1905.2930265201,-1915.961934538,-1762.9614351401
gdb_133841,CC12C3C1C1=CC3OC21,3.40195,1.93909,1.78947,1.5564,77.86,-0.1911,-0.0845,0.1066,837.2883,0.134397,-384.515057,-384.507943,-384.506999,-384.546083,28.855,-1678.0331120621,-1688.6794297561,-1698.162345764,-1561.6182698911
gdb_133842,CC12C3C4CC1C(=N4)N23,2.85108,1.84002,1.24849,3.2329,77.94,-0.2175,-0.0503,0.1672,992.6623,0.135944,-380.81106,-380.803258,-380.802314,-380.843393,29.851,-1702.9025487501,-1713.1165127431,-1722.599428751,-1586.9476706761
gdb_133843,CC12C3N1C1CC2C3=C1,3.02698,2.07351,1.90182,0.1098,82.67,-0.1982,-0.0488,0.1494,835.1474,0.147975,-364.687295,-364.68053,-364.679586,-364.717706,28.762,-1773.843068709,-1785.596939788,-1795.672851801,-1650.30474437
gdb_133844,OC12C3C1C1=CC3CC21,3.05945,2.09152,1.91351,3.7203,75.49,-0.1857,0.0267,0.2125,806.2521,0.135702,-384.556879,-384.549986,-384.549041,-384.58755,28.632,-1704.27679346,-1715.061790643,-1724.544079142,-1587.639185594
gdb_133845,OC12C3C1C1=CC3OC21,2.8624,2.2762,1.80209,1.4521,68.92,-0.1965,-0.0576,0.1389,786.5024,0.112894,-420.480733,-420.474503,-420.473559,-420.510813,26.254,-1520.1612602971,-1529.5845629501,-1537.881486948,-1416.2677327121
gdb_133846,CC12C3C1C1CC3C2=C1,3.56122,1.8266,1.7578,2.6531,82.42,-0.1882,0.004,0.1921,880.3544,0.159966,-348.64074,-348.633709,-348.632765,-348.671477,29.424,-1893.233558558,-1905.7096924961,-1916.378600514,-1763.522428186
gdb_133847,CC12C3C1C1OC3C2=C1,3.71382,1.84662,1.78505,3.0836,74.43,-0.2064,-0.0116,0.1949,837.8578,0.136054,-384.564965,-384.558235,-384.557291,-384.595538,27.796,-1709.350831234,-1720.2381123841,-1729.721028392,-1592.651727486
gdb_133848,CC12C3C1N1CC3N=C21,3.70013,1.86033,1.68606,3.0732,75.66,-0.2022,-0.0821,0.1201,859.4671,0.136508,-380.721537,-380.714912,-380.713968,-380.751987,27.664,-1646.726060543,-1657.6786026291,-1667.161518637,-1529.589583022
gdb_133849,CC12C3C4CC(C=C14)N23,3.6277,1.82906,1.77476,0.6367,83.6,-0.1937,-0.0457,0.1481,861.345,0.14815,-364.688912,-364.682075,-364.681131,-364.719496,28.573,-1774.8577507621,-1786.5664411931,-1796.642353206,-1651.4279854801
gdb_133850,CC12C3C4CC(N13)C2=C4,3.68081,1.85833,1.81657,3.0746,80.36,-0.1864,-0.0059,0.1805,850.5781,0.147665,-364.680114,-364.673062,-364.672118,-364.711052,28.864,-1769.3369265801,-1780.9107025761,-1790.986614589,-1646.1292994841
gdb_133851,OC12C3C1C1CC3C2=C1,3.5942,1.86545,1.79273,3.5079,74.91,-0.1909,-0.0056,0.1853,828.51,0.136286,-384.559208,-384.552566,-384.551621,-384.589503,28.22,-1705.7382619211,-1716.6807638631,-1726.163052362,-1588.864710671
gdb_133852,OC12C3C1C1OC3C2=C1,3.75204,1.88715,1.82025,3.5357,67.13,-0.2089,-0.0207,0.1882,786.2082,0.112235,-420.482253,-420.475874,-420.47493,-420.512427,26.66,-1521.1150739771,-1530.444877789,-1538.741801787,-1417.2805322381
gdb_133853,OC12C3C1N1CC3N=C21,3.76654,1.88673,1.71541,2.8744,68.51,-0.2087,-0.0889,0.1198,806.6963,0.113228,-416.642338,-416.636198,-416.635254,-416.672291,26.155,-1460.694742403,-1470.1738933571,-1478.470817355,-1356.361331009
gdb_133854,CC12CC34CC=C(C13)C24,3.78892,1.61275,1.37922,1.4429,97.02,-0.1575,-0.0912,0.0663,987.1182,0.156184,-348.566447,-348.558725,-348.557781,-348.597729,31.934,-1846.614032421,-1858.6565576401,-1869.325465658,-1717.2448944541
gdb_133855,CC12OC34CC=C(C13)C24,2.77196,1.56217,1.05877,2.3062,83.81,-0.2151,-0.0232,0.1919,1122.6407,0.135276,-384.678652,-384.670683,-384.669739,-384.711299,30.188,-1780.690446917,-1790.800244416,-1800.283160424,-1665.292796835
gdb_133856,OC12CC34CC=C(C13)C24,3.39337,1.65217,1.37761,1.4779,81.04,-0.2185,-0.0383,0.1802,948.1845,0.135036,-384.576055,-384.568668,-384.567724,-384.607015,30.795,-1716.309906044,-1726.784913781,-1736.267829789,-1599.853648279
gdb_133857,CC1C2C3C4=CCC13C24,3.60121,1.65672,1.41282,1.5261,85.67,-0.2014,-0.0515,0.1498,971.536,0.158963,-348.60836,-348.601028,-348.600084,-348.639441,30.453,-1872.914817138,-1885.2020708671,-1895.870978885,-1743.419549862
gdb_133858,CC1N2C3C4=CCC13C24,3.35113,1.79016,1.40929,1.8057,92.98,-0.1693,-0.1041,0.0652,948.9617,0.144613,-364.587575,-364.579951,-364.579007,-364.618907,30.975,-1711.267871229,-1722.482712077,-1732.55862409,-1588.307482679
gdb_133859,CN1C2C3C4=CCC13C24,3.63247,1.74015,1.47284,0.8183,82.97,-0.2044,-0.055,0.1494,927.4789,0.147108,-364.639427,-364.632258,-364.631314,-364.670376,29.576,-1743.805467897,-1755.30582534,-1765.381737353,-1620.6047434
gdb_133860,OC1C2C3C4=CCC13C24,3.65328,1.66873,1.42042,0.8087,78.23,-0.2092,-0.058,0.1512,921.5134,0.135485,-384.532543,-384.525501,-384.524557,-384.563401,29.182,-1689.005734436,-1699.6972327781,-1709.180148786,-1572.4854707531
gdb_133861,CN1C2CC11COCC21,3.56693,1.44238,1.26292,1.569,79.94,-0.2228,0.0828,0.3056,1060.6837,0.172342,-403.0387,-403.031118,-403.030174,-403.070528,30.511,-1857.334396177,-1870.3520703821,-1881.613974405,-1721.0582666471
gdb_133862,CN1C2CC11CC(O)C21,2.70455,1.6461,1.41364,2.7921,80.93,-0.2206,0.0723,0.2929,1018.8859,0.17104,-403.006103,-402.998386,-402.997441,-403.037739,31.855,-1836.879485304,-1849.812445794,-1861.073722308,-1700.482874046
gdb_133863,C1C2CC3CC4CC1C234,2.74553,2.00151,1.36002,0.4506,91.34,-0.2008,-0.0152,0.1856,995.0389,0.183006,-349.790689,-349.783068,-349.782124,-349.822503,31.336,-1986.985285685,-2000.8682948011,-2012.723194829,-1844.579020734
gdb_133864,C1C2CC3OC4CC1C234,2.83041,1.9984,1.41781,1.9977,91.95,-0.1386,-0.0638,0.0747,942.7307,0.158927,-385.748296,-385.74118,-385.740236,-385.779365,29.845,-1824.050063799,-1836.472231963,-1847.141139981,-1694.291242743
gdb_133865,C1C2CN3CC4OC1C234,2.8946,2.08696,1.42818,2.148,88.57,-0.1325,-0.0539,0.0786,915.8811,0.14686,-401.792449,-401.785191,-401.784247,-401.823773,29.474,-1703.152297332,-1714.5961789651,-1724.672090978,-1579.9308650381
gdb_133866,C1C2OC3CC4OC1C234,2.90067,2.05927,1.45675,2.3806,84.17,-0.1575,-0.0752,0.0823,892.5613,0.135006,-421.679014,-421.672181,-421.671237,-421.709861,28.307,-1644.2417524121,-1655.0637726261,-1664.546688634,-1527.458562458
gdb_133867,C1C2C3CC4CC13C2O4,3.12173,1.95772,1.91143,1.4371,78.33,-0.235,0.0942,0.3291,846.5551,0.163548,-385.826182,-385.820415,-385.81947,-385.855796,26.177,-1872.9242297731,-1886.1929075781,-1896.861188087,-1742.2523831221
gdb_133868,C1C2C3CC4CC2C13C4,3.01698,1.89549,1.84489,0.2864,85.74,-0.2465,0.092,0.3384,895.6742,0.187833,-349.901681,-349.895706,-349.894762,-349.93142,27.489,-2056.633764613,-2071.5496535431,-2083.404553571,-1912.9254184871
gdb_133869,C1C2C3CC4CC2C13O4,3.09994,1.9658,1.89316,1.447,77.78,-0.2476,0.0811,0.3287,849.7933,0.163634,-385.814978,-385.809206,-385.808262,-385.844608,26.226,-1865.8936189371,-1879.1591591971,-1889.828067215,-1735.2318124301
gdb_133870,C1C2C3CC4OC2C13O4,3.2299,2.02454,1.96007,1.7397,70.28,-0.2505,0.071,0.3215,801.6841,0.139275,-421.7415,-421.735945,-421.735001,-421.770998,24.855,-1683.452279786,-1695.0762565021,-1704.5591725101,-1565.8225801911
gdb_133871,C1C2C3OC4CC13C2O4,3.23767,2.02287,1.9819,2.1011,70.5,-0.2508,0.0836,0.3344,798.0812,0.139644,-421.754627,-421.749139,-421.748195,-421.784075,24.583,-1691.6895904291,-1703.355610248,-1712.838526256,-1574.028515384
gdb_133872,C1C2C3OC4CN2C13C4,3.17344,2.01595,1.96622,0.8088,75.03,-0.2108,0.088,0.2988,817.6336,0.151201,-401.859197,-401.853493,-401.852549,-401.888757,25.714,-1745.0372680641,-1757.456298683,-1767.532210696,-1620.708909894
gdb_133873,C1N2C3CC4CC2C13C4,3.08572,1.9131,1.87526,1.9005,81.97,-0.2086,0.0824,0.291,871.4877,0.175911,-365.922771,-365.916841,-365.915897,-365.952493,26.965,-1921.263758079,-1935.318704661,-1946.580608684,-1783.922118267
gdb_133874,C1N2C3CC4CC2C13O4,3.17845,1.97751,1.91188,0.6916,74.29,-0.2264,0.0641,0.2906,827.7783,0.151586,-401.835917,-401.830161,-401.829217,-401.865555,25.762,-1730.428858544,-1742.815258695,-1752.891170708,-1606.149446076
gdb_133875,C1C2C3C2C2C4OC12C34,3.51898,2.15095,1.87617,2.3177,73.27,-0.2283,0.0744,0.3027,785.0566,0.139289,-384.596376,-384.59102,-384.590076,-384.625639,24.482,-1729.0615164331,-1740.8109949491,-1750.293910957,-1611.5403758951
gdb_133876,C1C2C3C4C5C2C13CN45,3.59419,2.11325,1.87425,1.5614,77.39,-0.2346,0.0878,0.3224,802.5517,0.152397,-364.732075,-364.726719,-364.725775,-364.761334,24.517,-1801.9429217291,-1814.5809529891,-1824.656865002,-1677.681707022
gdb_133877,C1C2C3C4C5CC13C2C45,3.45974,2.11888,1.8445,0.2462,81.37,-0.2499,0.1023,0.3523,825.843,0.164037,-348.696763,-348.691301,-348.690357,-348.726069,25.376,-1928.388495265,-1941.8491908241,-1952.518098842,-1797.7793995141
gdb_133878,C1C2C3C4C5CC13C2N45,3.53569,2.16998,1.87468,1.6747,77.35,-0.2301,0.0938,0.3239,800.3447,0.152293,-364.737867,-364.732498,-364.731554,-364.767136,24.515,-1805.5774538571,-1818.2073275001,-1828.283239513,-1681.3225142401
gdb_133879,C1C2C3C4C5CC13N2C45,3.52243,2.18585,1.90252,1.4529,77.63,-0.2229,0.0977,0.3206,796.9713,0.151939,-364.733608,-364.72822,-364.727276,-364.762857,24.82,-1802.9048930261,-1815.5228439981,-1825.598756011,-1678.6374032291
gdb_133880,C1C2C3C4C5OC13C2C45,3.56068,2.19551,1.92067,1.3774,73.24,-0.2427,0.0904,0.3331,777.3913,0.139809,-384.609506,-384.604306,-384.603362,-384.638652,23.968,-1737.3007096031,-1749.1480795231,-1758.630995531,-1619.706150512
gdb_133881,C1C2C3C4C5OC14C5N23,3.59483,2.19899,1.90423,1.6637,69.37,-0.2254,0.0588,0.2842,760.7472,0.127406,-400.633868,-400.628599,-400.627654,-400.663098,23.658,-1603.9839125171,-1614.8988040631,-1623.788096557,-1492.819438149
gdb_133882,C1N2C3C2C2C4OC12C34,3.65648,2.14237,1.90439,1.2976,69.52,-0.2393,0.0608,0.3002,762.6354,0.127495,-400.629713,-400.624444,-400.6235,-400.658942,23.697,-1601.376612622,-1612.291504168,-1621.181424171,-1490.2115107451
gdb_133883,C1N2C3C4C5C2C13CN45,3.67118,2.14314,1.89501,1.248,73.6,-0.2233,0.072,0.2953,780.3553,0.140458,-380.753918,-380.748619,-380.747675,-380.783148,23.972,-1667.045429472,-1678.8300484921,-1688.3129645,-1549.143390971
gdb_133884,C1N2C3C4C5CC13C2C45,3.52845,2.15131,1.86582,1.9576,77.4,-0.2122,0.0881,0.3003,803.1904,0.152222,-364.720374,-364.714974,-364.71403,-364.74965,24.796,-1794.60043892,-1807.210859784,-1817.286771797,-1670.349891866
gdb_133885,C1N2C3C4C5OC13C2C45,3.64015,2.21764,1.93793,0.8626,69.48,-0.2316,0.0742,0.3058,756.3557,0.127862,-400.633052,-400.627892,-400.626948,-400.662186,23.434,-1603.471865173,-1614.4551552,-1623.345075203,-1492.247149941
